contract,status,funded,split_sheet,split_mca,K_sheet,comm_pct_mca_now,feein_sheet,feein_mca_orig,paid_sheet_exJ,paid_pending_share,paid_cleared_share,feeout_sheet,feeout_mca_on_cleared,J_sheet,flag
5674176325,Closed,25000.0,0.01,0.01,0.05,0.05,22.5,22.5,365.0,365.0,365.0,14.6,14.6,,
5674176395,Closed,300000.0,0.01,0.01,0.12,0.12,480.0,480.0,4021.0,4021.0,4021.0,160.84,160.84,,
5674176472,Closed,27000.0,0.01,0.01,0.12,0.12,43.2,43.2,400.4,400.4,400.4,16.02,16.02,,
5674176486,Legal,30000.0,0.01,0.01,0.07,0.0,33.0,33.0,27.94,27.94,27.94,1.12,1.12,21.0,
5674176512,Closed,13000.0,0.01,0.01,0.05,0.01,11.7,11.7,154.17,154.15,154.15,6.17,6.17,9.71,
5674176567,Collections,6500.0,0.01,0.01,0.05,0.0,5.86,5.85,50.5,50.5,50.5,2.02,2.02,,COMM-K-DIFF-NO-J
5674176599,Closed,35000.0,0.01,0.01,0.08,0.08,42.0,42.0,521.5,521.5,521.5,20.86,20.86,,
5674176655,Closed,25000.0,0.01,0.01,0.1,0.1,35.0,35.0,367.5,367.5,367.5,14.7,14.7,,
5674176750,Lowered Payments,25000.0,0.01,0.01,0.1,0.1,35.0,35.0,80.05,80.06,79.56,3.2,3.18,,PENDING
5674176778,Closed,5000.0,0.01,0.01,0.05,0.05,4.5,4.5,75.0,75.0,75.0,3.0,3.0,,
5674176788,Closed,100000.0,0.01,0.01,0.05,0.05,90.0,90.0,1520.01,1520.0,1550.0,60.8,62.0,,PENDING
5674176951,Legal,7000.0,0.01,0.01,0.05,0.05,6.29,6.3,59.01,59.0,59.0,2.36,2.36,,
5674177231,Closed,35000.0,0.01,0.01,0.1,0.1,49.0,49.0,505.0,505.0,505.0,20.2,20.2,,
5674177273,Closed,16000.0,0.01,0.01,0.12,0.12,25.6,25.6,235.19,235.2,235.2,9.41,9.41,,
5674177327,Closed,50000.0,0.01,0.01,0.12,0.12,80.0,80.0,735.0,735.0,735.0,29.4,29.4,,
5674177356,Legal,7000.0,0.01,0.01,0.05,0.05,6.29,6.3,56.47,56.46,56.46,2.25,2.26,,
5674177487,Closed,10000.0,0.01,0.01,0.12,0.12,15.99,16.0,150.0,150.0,150.0,6.0,6.0,,
5674177620,Legal,22265.0,0.02,0.02,0.12,0.12,71.24,71.25,425.48,425.48,425.48,17.02,17.02,,
5674177638,Lowered Payments,22000.0,0.02,0.02,0.12,0.12,70.41,70.4,472.7,472.69,462.18,18.91,18.49,,PENDING
5674177642,Lowered Payments,12000.0,0.02,0.02,0.1,0.0,33.61,33.6,110.13,110.12,109.12,4.41,4.36,24.0,PENDING
5674177673,Closed,37500.0,0.02,0.02,0.12,0.12,120.0,120.0,1117.5,1117.5,1117.5,44.69,44.7,,
5674177750,Closed,37000.0,0.02,0.02,0.12,0.12,118.4,118.4,1102.6,1102.6,1102.6,44.1,44.1,,
5674177762,Closed,20000.0,0.02,0.02,0.05,0.02,36.0,36.0,491.99,492.0,492.0,19.69,19.68,12.0,
5674177773,Closed,5000.0,0.02,0.02,0.12,0.12,16.0,16.0,150.0,150.0,150.0,5.99,6.0,,
5674177820,Legal,7000.0,0.02,0.02,0.05,0.05,12.59,12.6,105.29,105.29,105.29,4.21,4.21,,
5674177881,Legal,55000.0,0.02,0.02,0.12,0.0,176.0,176.0,270.0,270.0,270.0,10.8,10.8,132.0,
5674178018,Closed,20000.0,0.02,0.02,0.05,0.05,36.0,36.0,608.0,608.0,608.0,24.32,24.32,,
5674178039,Closed,8000.0,0.02,0.02,0.05,0.05,14.4,14.4,243.21,243.2,243.2,9.73,9.73,,
5674178065,Collections,10000.0,0.02,0.02,0.12,0.0,32.0,32.0,171.43,171.43,171.43,6.86,6.86,24.0,
5674178070,Closed,150000.0,0.02,0.02,0.12,0.12,480.0,480.0,4500.0,4500.0,4500.0,180.0,180.0,,
5674178227,Closed,25000.0,0.02,0.02,0.12,0.12,80.0,80.0,749.5,749.5,749.5,29.98,29.98,,
5674178334,Legal,20000.0,0.02,0.02,0.12,0.12,64.01,64.0,58.8,58.8,58.8,2.35,2.35,,
5674178352,Lowered Payments,10000.0,0.02,0.02,0.05,0.0,18.0,18.0,98.93,98.93,97.93,3.96,3.92,10.0,PENDING
5674178448,Bankruptcy,99000.0,0.02,0.02,0.05,0.0,178.2,178.2,197.96,197.96,197.96,7.92,7.92,99.0,
5674178480,Closed,26000.0,0.01,0.01,0.07,0.07,28.6,28.6,384.53,384.54,384.54,15.38,15.38,,
5674178505,Closed,20000.0,0.02,0.02,0.12,0.12,64.0,64.0,588.01,588.0,588.0,23.52,23.52,,
5674178648,Closed,125000.0,0.02,0.02,0.12,0.12,400.0,400.0,3575.0,3575.0,3575.0,143.0,143.0,,
5674178685,Closed,500000.0,0.01,0.01,0.12,0.12,800.0,800.0,7090.89,7090.89,7090.89,283.63,283.64,,
5674178692,Closed,30000.0,0.02,0.02,0.05,0.05,54.0,54.0,870.0,870.0,870.0,34.8,34.8,,
5674178705,Open,75000.0,0.02,0.02,0.12,0.12,240.01,240.0,2173.5,2173.5,2094.75,86.95,83.79,,PENDING
5674178713,Lowered Payments,23000.0,0.01,0.01,0.12,0.12,36.81,36.8,257.93,257.92,251.04,10.31,10.04,,PENDING
5674178798,Closed,22500.0,0.01,0.01,0.12,0.12,35.99,36.0,280.46,280.44,280.44,11.22,11.22,11.69,
